Month,Dolar,Taxa de Juros,PIB,Petroleo,INPC
1995-01-01,0.8451363636363637,48.84,0.00345,16.535,1.44
1995-02-01,0.83875,46.78,0.00345,17.1875,1.01
1995-03-01,0.8874130434782608,64.97,0.00345,16.916,1.62
1995-04-01,0.905529411764706,64.97,0.00345,18.425,2.49
1995-05-01,0.8953636363636364,64.78,0.00345,18.3175,2.1
1995-06-01,0.9120476190476192,60.84,0.00345,17.16,2.18
1995-07-01,0.9267619047619048,60.47,0.00345,15.9275,2.46
1995-08-01,0.9399565217391304,57.17,0.00345,16.175,1.02
1995-09-01,0.95075,47.98,0.00345,16.396,1.17
1995-10-01,0.9586809523809524,44.08,0.00345,16.0375,1.4
1995-11-01,0.962375,40.6,0.00345,16.732499999999998,1.51
1995-12-01,0.967285,38.96,0.00345,17.798,1.65
1996-01-01,0.9734772727272728,35.75,0.001823,17.5175,1.46
1996-02-01,0.9800789473684212,32.15,0.001823,17.035,0.71
1996-03-01,0.9853190476190476,30.15,0.001823,18.632,0.29
1996-04-01,0.9893142857142856,27.87,0.001823,20.0825,0.93
1996-05-01,0.994481818181818,26.97,0.001823,18.532,1.28
1996-06-01,1.0005315789473683,26.53,0.001823,18.275,1.33
1996-07-01,1.0061347826086957,25.78,0.001823,19.4225,1.2
1996-08-01,1.0126136363636364,26.38,0.001823,20.248,0.5
1996-09-01,1.0184904761904765,25.34,0.001823,23.025,0.02
1996-10-01,1.0243136363636365,24.75,0.001823,24.145,0.38
1996-11-01,1.029585,23.87,0.001823,22.916,0.34
1996-12-01,1.0365190476190476,23.87,0.001823,23.7375,0.33
1997-01-01,1.0420681818181818,22.85,0.00279,23.156,0.81
1997-02-01,1.0484666666666669,21.99,0.00279,20.02,0.45
1997-03-01,1.0558526315789474,21.56,0.00279,19.8425,0.68
1997-04-01,1.0601,21.84,0.003875,17.9375,0.6
1997-05-01,1.06747,20.7,0.003875,19.33,0.11
1997-06-01,1.0737952380952382,21.13,0.003875,17.810000000000002,0.35
1997-07-01,1.0798521739130436,20.98,0.00148,18.2,0.18
1997-08-01,1.0870666666666666,20.84,0.00148,18.694,0.03
1997-09-01,1.0927909090909091,20.84,0.00148,18.6725,0.1
1997-10-01,1.0992565217391306,21.99,0.003064,20.4,0.29
1997-11-01,1.106515,43.24,0.003064,19.415,0.15
1997-12-01,1.112777272727273,42.08,0.003064,17.575,0.57
1998-01-01,1.119133333333333,37.19,0.000838,15.618,0.85
1998-02-01,1.1263222222222222,28.78,0.000838,14.7475,0.54
1998-03-01,1.1329,29.84,0.000838,13.7425,0.49
1998-04-01,1.1403947368421052,22.56,0.00125,14.1675,0.45
1998-05-01,1.14733,21.41,0.00125,14.53,0.72
1998-06-01,1.1537714285714284,20.98,0.00125,13.2675,0.15
1998-07-01,1.1606913043478262,22.42,0.0003,13.026,0.28
1998-08-01,1.1709238095238097,19.28,0.0003,12.3675,0.49
1998-09-01,1.1800857142857144,34.33,0.0003,13.71,0.31
1998-10-01,1.1875666666666669,41.58,-0.0012,13.348,0.11
1998-11-01,1.19287,36.55,-0.0012,11.9025,0.18
1998-12-01,1.20455,32.92,-0.0012,10.025,0.42
1999-01-01,1.501115,29.54,0.000639,11.1,0.65
1999-02-01,1.9128833333333333,32.61,0.000639,10.53,1.29
1999-03-01,1.8960217391304348,48.16,0.000639,12.995,1.28
1999-04-01,1.6932684210526316,32.15,-0.000334,15.546,0.47
1999-05-01,1.6827142857142858,27.12,-0.000334,15.85,0.05
1999-06-01,1.7646190476190478,21.99,-0.000334,16.3575,0.07
1999-07-01,1.7995136363636364,21.84,-0.000518,18.884,0.74
1999-08-01,1.87995,20.56,-0.000518,20.625,0.55
1999-09-01,1.8972571428571428,19.42,-0.000518,22.7925,0.39
1999-10-01,1.96871,17.88,0.001791,22.298,0.96
1999-11-01,1.92909,18.02,0.001791,24.4625,0.94
1999-12-01,1.8420304347826089,20.98,0.001791,25.044,0.74
2000-01-01,1.8029238095238096,19.0,0.003595,25.1475,0.61
2000-02-01,1.774490476190476,18.86,0.003595,27.1475,0.05
2000-03-01,1.7412333333333332,18.86,0.003595,27.034,0.13
2000-04-01,1.7673684210526317,16.77,0.003258,23.1775,0.09
2000-05-01,1.827131818181818,19.42,0.003258,27.7875,0.05
2000-06-01,1.807528571428572,18.02,0.003258,29.588,0.3
2000-07-01,1.7970238095238094,16.9,0.003723,28.615,1.39
2000-08-01,1.8084391304347824,18.3,0.003723,30.192500000000003,1.21
2000-09-01,1.83839,15.66,0.003723,31.94,0.43
2000-10-01,1.8788380952380952,16.63,0.003755,31.2975,0.16
2000-11-01,1.94721,15.66,0.003755,32.2675,0.29
2000-12-01,1.96245,15.39,0.003755,26.03,0.55
2001-01-01,1.9537090909090908,16.35,0.002855,26.2375,0.77
2001-02-01,2.001055555555556,12.95,0.002855,27.9625,0.49
2001-03-01,2.08825,16.21,0.002855,25.5,0.48
2001-04-01,2.191655,15.25,0.001921,26.68,0.84
2001-05-01,2.2964318181818184,17.32,0.001921,28.5625,0.57
2001-06-01,2.375025,16.35,0.001921,27.860000000000003,0.6
2001-07-01,2.465222727272728,19.56,0.000383,25.4025,1.11
2001-08-01,2.5098304347826086,20.98,0.000383,25.752,0.79
2001-09-01,2.670863157894737,17.04,0.000383,26.455,0.44
2001-10-01,2.7393727272727277,19.99,-0.000443,21.4325,0.94
2001-11-01,2.542265,18.02,-0.000443,19.464,1.29
2001-12-01,2.3619,18.02,-0.000443,19.2675,0.74
2002-01-01,2.377131818181818,19.99,0.000399,20.215,1.07
2002-02-01,2.4188,16.08,0.000399,20.235,0.31
2002-03-01,2.345845,17.74,0.000399,24.21,0.62
2002-04-01,2.3196,19.28,0.001897,25.58,0.68
2002-05-01,2.479561904761905,18.3,0.001897,25.624,0.09
2002-06-01,2.713175,17.18,0.001897,24.8275,0.61
2002-07-01,2.933834782608696,20.13,0.00341,25.8775,1.15
2002-08-01,3.1093090909090906,18.72,0.00341,26.422,0.86
2002-09-01,3.340814285714285,17.88,0.00341,28.4775,0.83
2002-10-01,3.8051304347826087,21.7,0.004209,27.3525,1.57
2002-11-01,3.5756,20.13,0.004209,24.542,3.39
2002-12-01,3.625119047619048,23.0,0.004209,27.7925,2.7
2003-01-01,3.437554545454545,26.38,0.002198,30.514,2.47
2003-02-01,3.589955,24.31,0.002198,32.475,1.46
2003-03-01,3.4460894736842107,23.58,0.002198,29.045,1.37
2003-04-01,3.11787,24.9,0.000648,24.85,1.38
2003-05-01,2.9549238095238093,26.38,0.000648,25.456,0.99
2003-06-01,2.882405,24.75,0.000648,27.39,0.06
2003-07-01,2.8791086956521736,28.02,0.000523,28.4825,0.04
2003-08-01,3.0017428571428573,23.43,0.000523,29.596,0.18
2003-09-01,2.921636363636364,22.13,0.000523,26.485,0.82
2003-10-01,2.8607,21.56,0.00049,28.984,0.39
2003-11-01,2.913,17.32,0.00049,29.07,0.37
2003-12-01,2.924454545454545,17.74,0.00049,29.555,0.54
2004-01-01,2.851033333333333,16.35,0.003177,30.26,0.83
2004-02-01,2.929511111111111,13.76,0.003177,30.58,0.39
2004-03-01,2.9046565217391307,17.88,0.003177,32.71,0.57
2004-04-01,2.905225,15.12,0.005112,32.952,0.41
2004-05-01,3.0996190476190475,15.8,0.005112,37.2125,0.4
2004-06-01,3.128347619047619,15.8,0.005112,35.5725,0.5
2004-07-01,3.035972727272727,16.63,0.005309,37.854,0.73
2004-08-01,3.002113636363636,16.63,0.005309,42.1725,0.5
2004-09-01,2.890347619047619,16.08,0.005309,42.3025,0.17
2004-10-01,2.852055,15.53,0.005033,49.292,0.17
2004-11-01,2.78525,16.08,0.005033,44.5475,0.44
2004-12-01,2.7173608695652174,19.28,0.005033,40.132,0.86
2005-01-01,2.691247619047619,17.88,0.003418,44.7525,0.57
2005-02-01,2.597038888888889,15.66,0.003418,46.16,0.44
2005-03-01,2.7039772727272724,19.99,0.003418,53.605,0.73
2005-04-01,2.57838,18.3,0.003651,53.414,0.91
2005-05-01,2.452952380952381,19.56,0.003651,49.54,0.7
2005-06-01,2.4127181818181818,20.84,0.003651,55.74,0.11
2005-07-01,2.372709523809524,19.7,0.001742,58.06,0.03
2005-08-01,2.359795652173913,21.84,0.001742,64.1875,0.0
2005-09-01,2.293609523809524,19.56,0.001742,63.326,0.15
2005-10-01,2.25565,18.3,0.001774,59.115,0.58
2005-11-01,2.210035,17.88,0.001774,56.0325,0.54
2005-12-01,2.2846818181818183,19.14,0.001774,57.432,0.4
2006-01-01,2.2730681818181817,18.58,0.003499,64.4125,0.38
2006-02-01,2.161122222222222,14.71,0.003499,61.38,0.23
2006-03-01,2.1511608695652176,18.44,0.003499,63.538,0.27
2006-04-01,2.128544444444445,13.76,0.00188,71.025,0.12
2006-05-01,2.1773,16.49,0.00188,70.58250000000001,0.13
2006-06-01,2.247490476190476,15.12,0.00188,70.75,0.07
2006-07-01,2.1884809523809525,14.98,0.003667,74.48,0.11
2006-08-01,2.155082608695652,16.21,0.003667,74.2,0.02
2006-09-01,2.167945,13.49,0.003667,64.14,0.16
2006-10-01,2.147447619047619,13.89,0.003915,60.0275,0.43
2006-11-01,2.1571,12.95,0.003915,59.47,0.42
2006-12-01,2.148626315789474,12.55,0.003915,62.718,0.62
2007-01-01,2.1381318181818183,13.76,0.004225,54.33,0.49
2007-02-01,2.09545,10.95,0.004225,59.3125,0.42
2007-03-01,2.087877272727273,13.35,0.004225,62.95799999999999,0.44
2007-04-01,2.031235,11.88,0.005293,68.0275,0.26
2007-05-01,1.9808136363636364,13.08,0.005293,68.0625,0.26
2007-06-01,1.931125,11.48,0.005293,70.346,0.31
2007-07-01,1.882018181818182,12.28,0.004765,76.77250000000001,0.32
2007-08-01,1.9652130434782609,12.55,0.004765,71.77799999999999,0.59
2007-09-01,1.898778947368421,10.03,0.004765,77.44,0.25
2007-10-01,1.800240909090909,11.75,0.005372,82.9825,0.3
2007-11-01,1.769125,10.56,0.005372,92.18,0.43
2007-12-01,1.7851849999999998,10.56,0.005372,91.9125,0.97
2008-01-01,1.773459090909091,11.75,0.004994,91.9975,0.69
2008-02-01,1.726942105263158,10.03,0.004994,94.624,0.48
2008-03-01,1.7067799999999995,10.56,0.004994,103.52,0.51
2008-04-01,1.6881285714285714,11.35,0.005136,110.9775,0.64
2008-05-01,1.659735,11.09,0.005136,124.86,0.96
2008-06-01,1.618252380952381,12.15,0.005136,136.7775,0.91
2008-07-01,1.5906130434782608,13.62,0.005638,135.905,0.58
2008-08-01,1.6115142857142857,12.95,0.005638,115.606,0.21
2008-09-01,1.7987681818181818,14.03,0.005638,101.205,0.15
2008-10-01,2.1720521739130434,15.12,0.000854,72.262,0.5
2008-11-01,2.26549,12.95,0.000854,53.5675,0.38
2008-12-01,2.39706,14.3,0.000854,42.13,0.29
2009-01-01,2.306642857142857,13.35,-0.002048,46.43,0.64
2009-02-01,2.311872222222222,10.82,-0.002048,44.815,0.31
2009-03-01,2.313036363636364,12.28,-0.002048,48.245,0.2
2009-04-01,2.20505,10.56,-0.001852,53.1375,0.55
2009-05-01,2.064605,9.64,-0.001852,58.654,0.6
2009-06-01,1.956757142857143,9.51,-0.001852,69.3425,0.42
2009-07-01,1.9319521739130436,9.9,-0.000972,66.70599999999999,0.23
2009-08-01,1.8443809523809525,8.6,-0.000972,73.245,0.08
2009-09-01,1.818995238095238,8.6,-0.000972,67.735,0.16
2009-10-01,1.7376190476190476,8.6,0.004329,73.836,0.24
2009-11-01,1.7252263157894736,8.21,0.004329,76.45,0.37
2009-12-01,1.7494714285714286,9.12,0.004329,74.865,0.24
2010-01-01,1.7790199999999998,8.21,0.007369,76.14,0.88
2010-02-01,1.840833333333333,7.31,0.007369,74.5675,0.7
2010-03-01,1.7850434782608695,9.51,0.007369,79.6125,0.71
2010-04-01,1.75577,8.34,0.006837,85.904,0.73
2010-05-01,1.8123904761904763,9.38,0.006837,75.2875,0.43
2010-06-01,1.8057285714285716,9.9,0.006837,75.695,0.11
2010-07-01,1.7688363636363638,10.82,0.005584,75.614,0.07
2010-08-01,1.7587636363636363,11.22,0.005584,76.545,0.07
2010-09-01,1.7178714285714285,10.69,0.005584,77.97749999999999,0.54
2010-10-01,1.6827,10.16,0.004622,83.268,0.92
2010-11-01,1.71253,10.16,0.004622,86.0925,1.03
2010-12-01,1.6926545454545454,11.75,0.004622,92.418,0.6
2011-01-01,1.6746571428571428,10.82,0.004233,97.2575,0.94
2011-02-01,1.667405,10.56,0.004233,103.98,0.54
2011-03-01,1.6583,11.62,0.004233,114.8325,0.66
2011-04-01,1.5856473684210528,10.56,0.003835,123.73600000000002,0.72
2011-05-01,1.612690909090909,12.55,0.003835,112.595,0.57
2011-06-01,1.5862428571428573,12.15,0.003835,113.2375,0.22
2011-07-01,1.563138095238095,12.28,0.002903,116.554,0.0
2011-08-01,1.596208695652174,13.62,0.002903,109.345,0.42
2011-09-01,1.7489761904761902,11.88,0.002903,108.81,0.45
2011-10-01,1.7718700000000005,11.09,0.002117,110.0075,0.32
2011-11-01,1.789725,10.82,0.002117,110.0225,0.57
2011-12-01,1.8343380952380957,11.48,0.002117,107.45,0.51
2012-01-01,1.7890136363636364,11.22,0.001414,111.205,0.51
2012-02-01,1.7177578947368422,9.38,0.001414,119.235,0.39
2012-03-01,1.7947000000000002,10.3,0.001414,124.69,0.18
2012-04-01,1.854225,8.86,0.000821,120.9625,0.64
2012-05-01,1.985386363636364,9.25,0.000821,109.8525,0.55
2012-06-01,2.04857,7.96,0.000821,96.858,0.26
2012-07-01,2.0278500000000004,8.47,0.002052,103.4725,0.43
2012-08-01,2.028865217391304,8.6,0.002052,112.752,0.45
2012-09-01,2.0275,6.68,0.002052,113.68,0.63
2012-10-01,2.029281818181818,7.57,0.002044,111.5825,0.71
2012-11-01,2.067195,6.8,0.002044,109.328,0.54
2012-12-01,2.07724,6.8,0.002044,108.94,0.74
2013-01-01,2.030477272727273,7.44,0.002239,111.78,0.92
2013-02-01,1.972677777777778,6.04,0.002239,116.855,0.52
2013-03-01,1.98227,6.8,0.002239,109.75,0.6
2013-04-01,2.001631818181818,7.57,0.00329,102.51,0.59
2013-05-01,2.0342666666666664,7.44,0.00329,103.154,0.35
2013-06-01,2.172375,7.57,0.00329,103.39,0.28
2013-07-01,2.251560869565217,8.99,0.002271,107.9425,0.13
2013-08-01,2.341595454545455,8.86,0.002271,110.524,0.16
2013-09-01,2.2699000000000003,8.86,0.002271,111.6875,0.27
2013-10-01,2.1880565217391306,10.16,0.002084,109.4025,0.61
2013-11-01,2.29471,8.99,0.002084,108.054,0.54
2013-12-01,2.3448904761904763,9.9,0.002084,111.0975,0.72
2014-01-01,2.3816045454545454,10.69,0.002847,106.98,0.63
2014-02-01,2.38309,9.9,0.002847,109.3925,0.64
2014-03-01,2.325494736842105,9.64,0.002847,108.14,0.82
2014-04-01,2.231725,10.3,-0.000367,108.29,0.78
2014-05-01,2.220280952380953,10.95,-0.000367,109.23600000000002,0.6
2014-06-01,2.2348600000000003,10.3,-0.000367,112.5325,0.26
2014-07-01,2.224021739130435,12.01,-0.000535,108.2325,0.13
2014-08-01,2.2674238095238093,10.95,-0.000535,103.774,0.18
2014-09-01,2.332254545454546,11.48,-0.000535,98.33,0.49
2014-10-01,2.4476434782608694,12.01,-0.000192,88.13399999999999,0.38
2014-11-01,2.54823,10.56,-0.000192,78.3275,0.53
2014-12-01,2.6387363636363634,12.15,-0.000192,62.9375,0.62
2015-01-01,2.6336190476190477,11.88,-0.00136,51.696000000000005,1.48
2015-02-01,2.815838888888889,10.3,-0.00136,60.53,1.16
2015-03-01,3.1388636363636366,13.22,-0.00136,56.5325,1.51
2015-04-01,3.042595,12.01,-0.002313,60.3875,0.71
2015-05-01,3.061075,12.55,-0.002313,65.918,0.99
2015-06-01,3.11112380952381,13.62,-0.002313,63.365,0.77
2015-07-01,3.222508695652174,15.12,-0.003621,56.596,0.58
2015-08-01,3.513695238095238,14.16,-0.003621,48.2875,0.25
2015-09-01,3.905809523809524,14.16,-0.003621,48.455,0.51
2015-10-01,3.879504761904762,14.16,-0.004721,49.758,0.77
2015-11-01,3.7758,13.49,-0.004721,45.1375,1.11
2015-12-01,3.870495454545454,14.84,-0.004721,38.925,0.9
2016-01-01,4.051715,13.49,-0.004388,33.338,1.51
2016-02-01,3.973115789473684,12.68,-0.004388,33.8825,0.95
2016-03-01,3.7033090909090913,14.84,-0.004388,40.1875,0.44
2016-04-01,3.56524,13.49,-0.002724,43.39,0.64
2016-05-01,3.538685714285714,14.16,-0.002724,47.81,0.98
2016-06-01,3.423877272727273,14.84,-0.002724,49.44,0.47
2016-07-01,3.2747105263157894,14.16,-0.002065,46.574,0.64
2016-08-01,3.2090565217391305,15.66,-0.002065,48.010000000000005,0.31
2016-09-01,3.2557714285714288,14.16,-0.002065,47.112,0.08
2016-10-01,3.185245,13.35,-0.001903,51.3425,0.17
2016-11-01,3.34143,13.22,-0.001903,46.1075,0.07
2016-12-01,3.351668181818182,14.3,-0.001903,55.196000000000005,0.14
2017-01-01,3.195986363636364,13.89,0.000233,55.89,0.42
2017-02-01,3.103588888888889,10.95,0.000233,56.3275,0.24
2017-03-01,3.1273304347826087,13.35,0.000233,52.532,0.32
2017-04-01,3.135572222222222,9.9,0.000656,53.705,0.08
2017-05-01,3.208704545454545,11.75,0.000656,51.425,0.36
2017-06-01,3.294766666666667,10.16,0.000656,47.786,0.3
2017-07-01,3.205538095238095,10.03,0.001357,49.05,0.17
2017-08-01,3.1503130434782607,10.03,0.001357,52.4125,0.03
2017-09-01,3.13419,7.96,0.001357,55.31,0.02
2017-10-01,3.190638095238095,7.96,0.002125,57.745,0.37
2017-11-01,3.258735,7.06,0.002125,63.0425,0.18
2017-12-01,3.29131,6.68,0.002125,64.49600000000001,0.26
2018-01-01,3.2099863636363635,7.19,0.00157,69.155,0.23
2018-02-01,3.2409055555555555,5.79,0.00157,65.88,0.18
2018-03-01,3.2786142857142857,6.55,0.00157,67.35799999999999,0.07
2018-04-01,3.4069,6.42,0.00134,72.0975,0.21
2018-05-01,3.635461904761905,6.42,0.00134,76.735,0.43
2018-06-01,3.7725714285714287,6.42,0.00134,76.336,1.43
2018-07-01,3.828136363636363,6.68,0.001701,74.95,0.25
2018-08-01,3.9291565217391295,7.06,0.001701,74.21799999999999,0.0
2018-09-01,4.115947368421053,5.79,0.001701,79.11,0.3
2018-10-01,3.7578045454545457,6.68,0.001283,80.4975,0.4
2018-11-01,3.786015,6.04,0.001283,65.456,0.25
2018-12-01,3.884405,6.04,0.001283,56.9925,0.14
2019-01-01,3.7410545454545456,6.68,0.000747,60.47,0.36
2019-02-01,3.723025,6.04,0.000747,64.555,0.54
2019-03-01,3.845884210526316,5.79,0.000747,66.678,0.77
2019-04-01,3.895557142857143,6.42,0.00097,71.5025,0.6
2019-05-01,4.000918181818182,6.68,0.00097,69.372,0.15
2019-06-01,3.8582263157894734,5.79,0.00097,64.2625,0.01
2019-07-01,3.7787130434782608,7.06,0.00092,64.22,0.1
2019-08-01,4.019381818181818,6.17,0.00092,59.766,0.12
2019-09-01,4.1209,5.66,0.00092,61.9875,0.05
2019-10-01,4.086386956521739,5.91,0.001398,60.08,0.04
2019-11-01,4.154725,4.66,0.001398,62.664,0.54
2019-12-01,4.10892380952381,4.53,0.001398,65.97749999999999,1.22
2020-01-01,4.148863636363637,4.66,0.000341,63.456,0.19
2020-02-01,4.340411111111111,3.54,0.000341,55.2025,0.17
2020-03-01,4.883218181818182,4.16,0.000341,32.7575,0.18
2020-04-01,5.324985,3.41,-0.00887,28.7775,0.23
2020-05-01,5.64285,2.92,-0.00887,32.074,0.25
2020-06-01,5.195995238095238,2.55,-0.00887,41.06,0.3
2020-07-01,5.279595652173913,2.3,-0.002569,43.164,0.44
2020-08-01,5.460633333333333,1.94,-0.002569,44.65,0.36
2020-09-01,5.398880952380952,1.94,-0.002569,41.89,0.87
2020-10-01,5.625190476190476,1.94,-0.000275,40.856,0.89
2020-11-01,5.417235,1.81,-0.000275,43.8425,0.95
2020-12-01,5.144945454545455,1.94,-0.000275,50.6925,1.46
2021-01-01,5.3556,1.81,0.001447,54.836,0.27
2021-02-01,5.415894444444444,1.57,0.001447,62.7025,0.82
2021-03-01,5.645547826086957,2.43,0.001447,66.92,0.86
2021-04-01,5.561535,2.55,0.009789,65.588,0.38
2021-05-01,5.290742857142857,3.29,0.009789,68.265,0.96
2021-06-01,5.03705,3.78,0.009789,73.5675,0.6
2021-07-01,5.156027272727273,4.41,0.003442,75.148,1.02
2021-08-01,5.251122727272727,5.28,0.003442,69.7925,0.88
2021-09-01,5.2790904761904764,5.41,0.003442,74.74000000000001,1.2
2021-10-01,5.539375,6.04,0.001209,83.288,1.16
2021-11-01,5.55626,7.31,0.001209,79.13,0.84
2021-12-01,5.650604347826087,9.64,0.001209,74.494,0.73
2022-01-01,5.533504761904761,9.12,0.001217,86.4325,0.67
2022-02-01,5.159921428571429,9.51,0.001217,94.795,1.0
2022-03-01,4.967781818181819,11.75,0.001217,114.84,1.71
2022-04-01,4.757415789473685,10.43,0.002903,106.972,1.04
2022-05-01,4.9544500000000005,13.08,0.002903,113.98,0.45
2022-06-01,5.048609523809524,12.95,0.002903,116.9925,0.62
2022-07-01,5.36747619047619,13.08,0.003531,106.604,0.6
2022-08-01,5.142695652173913,14.98,0.003531,97.695,0.31
2022-09-01,5.236357142857143,13.62,0.003531,90.264,0.32
2022-10-01,5.249695,12.95,0.002214,94.705,0.47
2022-11-01,5.274055,12.95,0.002214,91.4525,0.38
2022-12-01,5.241831818181819,14.3,0.002214,82.10799999999999,0.69
2023-01-01,5.200081818181818,14.3,0.00345,84.535,0.46
2023-02-01,5.171088888888889,11.62,0.00345,83.1225,0.77
2023-03-01,5.210860869565217,14.98,0.00345,79.268,0.64
2023-04-01,5.019133333333333,11.62,0.002847,83.1575,0.53
2023-05-01,4.982240909090909,14.3,0.002847,75.5,0.36
2023-06-01,4.850966666666666,13.62,0.002847,75.256,0.1
2023-07-01,4.800233333333334,13.62,0.001619,81.1,0.09
2023-08-01,4.90294347826087,14.57,0.001619,85.5825,0.2
2023-09-01,4.93639,12.28,0.001619,92.342,0.11
2023-10-01,5.064242857142856,12.68,0.001619,89.5275,0.12
2023-11-01,4.897735,11.62,0.001619,81.8775,0.1
